created_at,entry_id,field1,field2,field3,field4,field5
2017-07-18 09:26:29 UTC,1,33.8,27.5,0.953,1.244,3.645
2017-07-18 09:27:48 UTC,2,35.1,25.5,0.965,1.255,3.636
2017-07-18 09:29:06 UTC,3,35.3,25.1,0.974,1.267,3.656
2017-07-18 09:30:21 UTC,4,34.8,25.8,0.968,1.260,3.658
2017-07-18 09:31:38 UTC,5,37.7,22.5,0.978,1.269,3.655
2017-07-18 09:32:55 UTC,6,36.3,23.8,0.981,1.278,3.653
2017-07-18 09:34:11 UTC,7,36.3,23.8,0.986,1.287,3.661
2017-07-18 09:35:25 UTC,8,38.6,21.0,0.991,1.296,3.665
2017-07-18 09:36:42 UTC,9,41.0,19.9,1.001,1.302,3.666
2017-07-18 09:37:58 UTC,10,37.0,22.7,1.003,1.308,3.660
2017-07-18 09:39:17 UTC,11,38.0,22.4,1.014,1.324,3.668
2017-07-18 09:40:35 UTC,12,40.3,19.5,1.023,1.334,3.658
2017-07-18 09:41:47 UTC,13,38.8,21.7,1.027,1.340,3.669
2017-07-18 09:43:04 UTC,14,38.9,20.6,1.036,1.352,3.669
2017-07-18 09:44:23 UTC,15,37.8,21.4,1.040,1.358,3.652
2017-07-18 09:45:36 UTC,16,37.5,22.0,1.040,1.354,3.666
2017-07-18 09:46:53 UTC,17,37.8,21.6,1.049,1.365,3.672
2017-07-18 09:48:12 UTC,18,41.6,18.4,1.057,1.372,3.674
2017-07-18 09:49:26 UTC,19,40.3,19.7,1.064,1.378,3.667
2017-07-18 09:50:43 UTC,20,41.1,19.4,1.065,1.383,3.668
2017-07-18 09:52:01 UTC,21,37.8,21.2,1.070,1.391,3.677
2017-07-18 09:53:15 UTC,22,37.3,20.9,1.078,1.399,3.680
2017-07-18 09:54:34 UTC,23,39.2,19.9,1.078,1.399,3.675
2017-07-18 09:55:51 UTC,24,39.1,20.3,1.090,1.409,3.680
2017-07-18 09:57:05 UTC,25,39.7,18.8,1.098,1.415,3.681
2017-07-18 09:58:23 UTC,26,38.6,20.3,1.106,1.422,3.683
2017-07-18 09:59:38 UTC,27,39.0,20.3,1.109,1.426,3.683
2017-07-18 10:00:54 UTC,28,41.0,19.0,1.113,1.430,3.669
2017-07-18 10:02:11 UTC,29,40.3,18.9,1.124,1.437,3.685
2017-07-18 10:03:26 UTC,30,39.6,20.4,1.133,1.446,3.684
2017-07-18 10:04:45 UTC,31,41.6,18.3,1.140,1.452,3.689
2017-07-18 10:05:59 UTC,32,41.3,18.7,1.150,1.459,3.689
2017-07-18 10:07:16 UTC,33,38.9,20.5,1.154,1.464,3.679
2017-07-18 10:08:33 UTC,34,42.1,17.5,1.162,1.470,3.686
2017-07-18 10:09:52 UTC,35,39.1,19.6,1.165,1.474,3.695
2017-07-18 10:11:09 UTC,36,39.3,19.8,1.164,1.472,3.695
2017-07-18 10:12:22 UTC,37,41.0,18.1,1.173,1.478,3.691
2017-07-18 10:13:40 UTC,38,40.0,19.1,1.179,1.484,3.698
2017-07-18 10:15:00 UTC,39,41.2,17.7,1.184,1.486,3.700
2017-07-18 10:16:12 UTC,40,38.8,20.0,1.186,1.491,3.702
2017-07-18 10:17:28 UTC,41,40.8,18.9,1.192,1.493,3.704
2017-07-18 10:18:47 UTC,42,41.2,18.3,1.209,1.505,3.700
2017-07-18 10:20:04 UTC,43,41.2,18.6,1.222,1.513,3.707
2017-07-18 10:21:19 UTC,44,41.7,18.5,1.242,1.529,3.705
2017-07-18 10:22:36 UTC,45,43.1,17.5,1.261,1.540,3.710
2017-07-18 10:23:51 UTC,46,42.0,17.7,1.266,1.547,3.712
2017-07-18 10:25:10 UTC,47,43.1,16.7,1.266,1.552,3.716
2017-07-18 10:26:26 UTC,48,43.8,16.3,1.267,1.552,3.710
2017-07-18 10:27:40 UTC,49,42.6,17.3,1.261,1.548,3.718
2017-07-18 10:28:59 UTC,50,41.0,18.9,1.262,1.553,3.718
2017-07-18 10:30:15 UTC,51,41.3,18.4,1.248,1.543,3.722
2017-07-18 10:31:29 UTC,52,42.9,16.2,1.251,1.544,3.721
2017-07-18 10:32:48 UTC,53,45.6,14.8,1.254,1.546,3.723
2017-07-18 10:34:04 UTC,54,45.8,14.8,1.261,1.547,3.728
2017-07-18 10:36:35 UTC,55,45.6,14.8,1.270,1.553,3.724
2017-07-18 10:37:58 UTC,56,41.8,16.9,1.271,1.558,3.732
2017-07-18 10:39:14 UTC,57,41.8,17.0,1.268,1.559,3.717
2017-07-18 10:40:27 UTC,58,44.0,15.5,1.276,1.561,3.736
2017-07-18 10:41:43 UTC,59,41.8,16.6,1.278,1.567,3.732
2017-07-18 10:42:57 UTC,60,43.0,16.5,1.297,1.579,3.741
2017-07-18 10:44:16 UTC,61,43.1,16.3,0.869,1.033,3.706
2017-07-18 10:45:29 UTC,62,41.2,17.6,1.013,1.176,3.724
2017-07-18 10:46:52 UTC,63,41.5,17.7,1.304,1.585,3.733
2017-07-18 10:48:06 UTC,64,42.7,16.2,1.304,1.587,3.749
2017-07-18 10:49:22 UTC,65,44.9,15.4,1.319,1.595,3.746
2017-07-18 10:50:40 UTC,66,45.2,14.7,1.317,1.643,3.758
2017-07-18 10:52:07 UTC,67,43.5,15.6,1.090,1.523,3.746
2017-07-18 10:53:23 UTC,68,45.4,14.8,1.332,1.600,3.751
2017-07-18 10:54:40 UTC,69,43.9,15.8,1.323,1.594,3.761
2017-07-18 10:55:56 UTC,70,43.0,16.4,1.330,1.603,3.766
2017-07-18 10:57:13 UTC,71,43.8,15.8,1.330,1.606,3.764
2017-07-18 10:58:29 UTC,72,43.5,15.4,1.340,1.615,3.771
2017-07-18 10:59:48 UTC,73,44.0,14.9,1.351,1.622,3.776
2017-07-18 11:01:04 UTC,74,45.9,13.8,1.355,1.622,3.780
2017-07-18 11:02:21 UTC,75,43.5,15.5,1.369,1.637,3.786
2017-07-18 11:03:37 UTC,76,42.9,15.1,1.376,1.637,3.769
2017-07-18 11:04:51 UTC,77,41.5,15.8,1.367,1.637,3.789
2017-07-18 11:06:10 UTC,78,42.2,15.4,1.351,1.569,3.789
2017-07-18 11:07:27 UTC,79,45.6,13.7,1.401,1.656,3.795
2017-07-18 11:08:42 UTC,80,45.5,13.8,1.414,1.666,3.794
2017-07-18 11:10:00 UTC,81,44.9,14.4,1.409,1.664,3.793
2017-07-18 11:11:14 UTC,82,43.2,15.6,1.403,1.658,3.802
2017-07-18 11:12:32 UTC,83,44.6,14.8,1.388,1.647,3.808
2017-07-18 11:13:46 UTC,84,44.7,14.5,1.392,1.649,3.798
2017-07-18 11:15:03 UTC,85,46.3,13.5,1.388,1.651,3.813
2017-07-18 11:16:22 UTC,86,47.0,13.2,1.397,1.656,3.815
2017-07-18 11:17:36 UTC,87,42.9,15.8,1.406,1.668,3.805
2017-07-18 11:18:52 UTC,88,41.2,17.7,1.404,1.669,3.819
2017-07-18 11:20:09 UTC,89,42.5,16.2,1.412,1.676,3.823
2017-07-18 11:21:25 UTC,90,45.8,13.9,1.415,1.679,3.814
2017-07-18 11:22:41 UTC,91,43.5,15.4,1.415,1.682,3.822
2017-07-18 11:24:00 UTC,92,42.0,16.5,1.423,1.689,3.834
2017-07-18 11:25:17 UTC,93,41.7,16.5,1.424,1.697,3.838
2017-07-18 11:26:30 UTC,94,44.2,14.7,1.426,1.696,3.840
2017-07-18 11:27:48 UTC,95,46.8,13.5,1.428,1.696,3.843
2017-07-18 11:29:04 UTC,96,43.1,15.4,1.425,1.696,3.836
2017-07-18 11:30:23 UTC,97,43.4,15.4,1.421,1.688,3.850
2017-07-18 11:31:53 UTC,98,45.3,14.2,1.438,1.700,3.852
2017-07-18 11:32:55 UTC,99,47.9,13.1,1.448,1.707,3.846
2017-07-18 11:34:12 UTC,100,45.0,14.6,1.439,1.701,3.860
2017-07-18 11:35:28 UTC,101,44.1,15.3,1.451,1.704,3.863
2017-07-18 11:36:42 UTC,102,46.0,13.9,1.454,1.712,3.869
2017-07-18 11:38:01 UTC,103,48.7,12.7,1.459,1.712,3.871
2017-07-18 11:39:21 UTC,104,45.0,14.1,1.463,1.717,3.870
2017-07-18 11:40:31 UTC,105,47.6,12.8,1.468,1.719,3.882
2017-07-18 11:41:47 UTC,106,44.5,14.4,1.463,1.721,3.888
2017-07-18 11:43:08 UTC,107,46.0,13.2,1.460,1.714,3.891
2017-07-18 11:44:27 UTC,108,46.6,13.2,1.468,1.716,3.896
2017-07-18 11:45:40 UTC,109,42.8,15.6,1.463,1.715,3.901
2017-07-18 11:46:56 UTC,110,41.6,15.8,1.466,1.720,3.908
2017-07-18 11:48:12 UTC,111,40.9,17.1,1.466,1.725,3.913
2017-07-18 11:49:26 UTC,112,40.5,17.3,1.461,1.725,3.917
2017-07-18 11:51:59 UTC,113,42.4,15.4,1.459,1.733,3.926
2017-07-18 11:53:16 UTC,114,45.2,14.1,1.460,1.731,3.930
2017-07-18 11:54:32 UTC,115,44.8,13.6,1.471,1.738,3.933
2017-07-18 11:55:51 UTC,116,45.1,14.0,1.465,1.733,3.925
2017-07-18 11:57:08 UTC,117,44.5,14.4,1.468,1.735,3.943
2017-07-18 11:58:26 UTC,118,47.8,12.8,1.470,1.734,3.935
2017-07-18 11:59:40 UTC,119,43.8,14.8,1.471,1.739,3.952
2017-07-18 12:00:54 UTC,120,44.6,14.2,1.470,1.737,3.948
2017-07-18 12:02:11 UTC,121,42.3,16.0,1.468,1.736,3.963
2017-07-18 12:03:31 UTC,122,42.8,15.5,1.467,1.736,3.960
2017-07-18 12:04:45 UTC,123,41.9,16.2,1.461,1.733,3.973
2017-07-18 12:06:00 UTC,124,42.4,15.6,1.475,1.745,3.970
2017-07-18 12:07:19 UTC,125,44.2,14.5,1.450,1.723,3.981
2017-07-18 12:08:36 UTC,126,45.7,13.6,1.487,1.750,3.987
2017-07-18 12:09:52 UTC,127,46.6,13.1,1.503,1.757,3.990
2017-07-18 12:11:09 UTC,128,47.8,12.7,1.450,1.758,3.991
