created_at,entry_id,field1,field2,field3,field4,field5,field6,field7
2017-07-25 09:15:34 UTC,1,28.8,30.4,1.114,1.392,3.644,0.490,1.695
2017-07-25 09:15:51 UTC,2,29.9,28.7,1.118,1.393,3.644,0.490,1.695
2017-07-25 09:16:57 UTC,3,33.0,23.9,1.129,1.398,3.654,0.490,1.694
2017-07-25 09:17:59 UTC,4,35.6,21.3,1.140,1.405,3.653,0.490,1.694
2017-07-25 09:19:00 UTC,5,37.7,19.1,1.150,1.410,3.651,0.490,1.694
2017-07-25 09:20:02 UTC,6,39.3,17.7,1.159,1.415,3.641,0.490,1.694
2017-07-25 09:21:08 UTC,7,40.0,17.1,1.170,1.421,3.641,0.490,1.694
2017-07-25 09:22:11 UTC,8,41.3,16.4,1.179,1.427,3.643,0.490,1.694
2017-07-25 09:23:11 UTC,9,41.5,15.9,1.186,1.432,3.638,0.490,1.693
2017-07-25 09:24:14 UTC,10,42.3,15.4,1.189,1.436,3.643,0.490,1.693
2017-07-25 09:25:20 UTC,11,43.1,15.1,1.201,1.440,3.642,0.490,1.693
2017-07-25 09:26:20 UTC,12,43.7,14.4,1.207,1.446,3.643,0.490,1.693
2017-07-25 09:27:22 UTC,13,43.6,14.6,1.212,1.449,3.641,0.490,1.694
2017-07-25 09:28:26 UTC,14,44.5,14.3,1.224,1.456,3.646,0.490,1.694
2017-07-25 09:29:32 UTC,15,45.0,13.6,1.237,1.463,3.648,0.490,1.693
2017-07-25 09:30:32 UTC,16,45.5,13.3,1.245,1.466,3.644,0.490,1.693
2017-07-25 09:31:35 UTC,17,45.8,13.1,1.248,1.470,3.644,0.490,1.693
2017-07-25 09:32:37 UTC,18,46.2,12.9,1.257,1.477,3.648,0.490,1.694
2017-07-25 09:33:43 UTC,19,46.5,12.8,1.268,1.480,3.646,0.490,1.693
2017-07-25 09:34:42 UTC,20,46.3,12.8,1.287,1.485,3.650,0.489,1.693
2017-07-25 09:35:45 UTC,21,47.0,12.6,1.297,1.492,3.644,0.489,1.693
2017-07-25 09:36:50 UTC,22,47.6,12.6,1.302,1.494,3.648,0.489,1.693
2017-07-25 09:37:55 UTC,23,48.2,12.1,1.310,1.501,3.648,0.490,1.694
2017-07-25 09:38:54 UTC,24,47.8,11.8,1.317,1.506,3.636,0.490,1.694
2017-07-25 09:39:57 UTC,25,47.9,11.9,1.321,1.512,3.634,0.489,1.694
2017-07-25 09:41:03 UTC,26,47.8,12.4,1.332,1.515,3.646,0.490,1.693
2017-07-25 09:42:07 UTC,27,48.4,12.1,1.340,1.520,3.651,0.490,1.693
2017-07-25 09:43:05 UTC,28,48.8,11.8,1.349,1.527,3.650,0.490,1.694
2017-07-25 09:44:09 UTC,29,49.0,11.2,1.355,1.530,3.651,0.490,1.694
2017-07-25 09:45:15 UTC,30,48.6,11.4,1.356,1.535,3.653,0.489,1.693
2017-07-25 09:46:17 UTC,31,48.9,11.6,1.365,1.542,3.650,0.490,1.693
2017-07-25 09:47:17 UTC,32,49.5,11.4,1.374,1.544,3.655,0.490,1.693
2017-07-25 09:48:20 UTC,33,49.2,11.2,1.380,1.547,3.656,0.489,1.693
2017-07-25 09:49:27 UTC,34,49.3,11.1,1.382,1.550,3.655,0.490,1.694
2017-07-25 09:50:29 UTC,35,48.8,11.2,1.393,1.557,3.659,0.489,1.693
2017-07-25 09:51:29 UTC,36,48.7,11.3,1.399,1.562,3.657,0.490,1.694
2017-07-25 09:52:32 UTC,37,48.4,11.4,1.404,1.565,3.661,0.490,1.693
2017-07-25 09:53:38 UTC,38,48.6,11.3,1.412,1.573,3.662,0.489,1.693
2017-07-25 09:54:41 UTC,39,48.3,11.4,1.417,1.579,3.640,0.490,1.693
2017-07-25 09:55:41 UTC,40,48.8,11.3,1.429,1.584,3.662,0.489,1.693
2017-07-25 09:56:44 UTC,41,49.4,11.1,1.436,1.589,3.657,0.489,1.694
2017-07-25 09:57:50 UTC,42,49.7,10.7,1.446,1.595,3.655,0.490,1.693
2017-07-25 09:58:52 UTC,43,49.6,10.7,1.457,1.600,3.664,0.490,1.694
2017-07-25 10:00:08 UTC,44,49.0,10.9,1.461,1.604,3.662,0.489,1.693
2017-07-25 10:00:55 UTC,45,48.5,11.1,1.464,1.610,3.664,0.489,1.693
2017-07-25 10:02:01 UTC,46,49.3,10.9,1.470,1.616,3.666,0.489,1.693
2017-07-25 10:03:05 UTC,47,49.6,10.9,1.477,1.620,3.671,0.489,1.693
2017-07-25 10:04:08 UTC,48,50.1,10.7,1.488,1.626,3.672,0.490,1.694
2017-07-25 10:05:07 UTC,49,50.5,10.3,1.495,1.629,3.668,0.489,1.693
2017-07-25 10:06:13 UTC,50,50.9,10.2,1.506,1.634,3.672,0.489,1.693
2017-07-25 10:07:15 UTC,51,51.0,10.0,1.512,1.637,3.675,0.490,1.693
2017-07-25 10:08:16 UTC,52,51.2,10.1,1.513,1.643,3.666,0.490,1.693
2017-07-25 10:09:18 UTC,53,51.3,9.9,1.524,1.647,3.668,0.489,1.693
2017-07-25 10:10:25 UTC,54,51.7,9.7,1.528,1.651,3.658,0.490,1.693
2017-07-25 10:11:27 UTC,55,51.7,9.5,1.529,1.657,3.673,0.490,1.693
2017-07-25 10:12:28 UTC,56,51.5,9.7,1.539,1.659,3.682,0.489,1.694
2017-07-25 10:13:30 UTC,57,51.9,9.7,1.543,1.662,3.684,0.490,1.693
2017-07-25 10:14:36 UTC,58,52.0,9.7,1.548,1.667,3.684,0.489,1.693
2017-07-25 10:15:51 UTC,59,52.1,9.5,1.552,1.671,3.675,0.489,1.693
2017-07-25 10:16:39 UTC,60,51.7,9.6,1.557,1.672,3.682,0.489,1.693
2017-07-25 10:17:43 UTC,61,51.9,9.6,1.565,1.677,3.690,0.490,1.693
2017-07-25 10:18:48 UTC,62,51.3,9.8,1.567,1.683,3.692,0.489,1.693
2017-07-25 10:19:49 UTC,63,51.2,9.9,1.574,1.686,3.695,0.490,1.693
2017-07-25 10:20:51 UTC,64,50.7,9.9,1.575,1.694,3.696,0.489,1.693
2017-07-25 10:21:54 UTC,65,50.4,10.1,1.584,1.697,3.696,0.489,1.693
2017-07-25 10:23:00 UTC,66,50.6,9.9,1.590,1.702,3.700,0.490,1.693
2017-07-25 10:24:00 UTC,67,51.0,9.9,1.595,1.708,3.704,0.490,1.693
2017-07-25 10:25:03 UTC,68,51.5,9.6,1.602,1.711,3.705,0.489,1.693
2017-07-25 10:26:09 UTC,69,52.1,9.4,1.611,1.720,3.707,0.490,1.693
2017-07-25 10:27:12 UTC,70,51.9,9.2,1.619,1.721,3.709,0.489,1.693
2017-07-25 10:28:12 UTC,71,51.8,9.2,1.620,1.725,3.710,0.489,1.693
2017-07-25 10:29:14 UTC,72,51.7,9.3,1.627,1.729,3.712,0.490,1.693
2017-07-25 10:30:35 UTC,73,51.1,9.6,1.629,1.734,3.702,0.489,1.693
2017-07-25 10:31:24 UTC,74,51.2,9.5,1.637,1.737,3.716,0.490,1.693
2017-07-25 10:32:23 UTC,75,51.4,9.5,1.642,1.738,3.717,0.489,1.693
2017-07-25 10:33:26 UTC,76,52.4,9.2,1.645,1.744,3.721,0.489,1.693
2017-07-25 10:34:32 UTC,77,53.1,9.0,1.654,1.748,3.719,0.489,1.693
2017-07-25 10:35:36 UTC,78,52.7,9.0,1.661,1.752,3.721,0.489,1.693
2017-07-25 10:36:35 UTC,79,52.2,9.1,1.663,1.754,3.728,0.489,1.693
2017-07-25 10:37:38 UTC,80,52.4,9.1,1.670,1.756,3.730,0.489,1.693
2017-07-25 10:38:44 UTC,81,53.2,8.7,1.672,1.760,3.725,0.489,1.693
2017-07-25 10:39:47 UTC,82,53.4,8.6,1.675,1.763,3.735,0.490,1.693
2017-07-25 10:40:47 UTC,83,53.3,8.6,1.680,1.768,3.735,0.490,1.693
2017-07-25 10:41:49 UTC,84,53.7,8.6,1.694,1.773,3.740,0.489,1.693
