created_at,entry_id,field1,field2,field3,field4,field5,field6,field7
2017-08-01 07:52:05 UTC,1,27.1,27.5,0.316,0.285,3.682,0.490,1.696
2017-08-01 07:53:21 UTC,2,28.1,26.0,0.671,0.664,3.547,0.490,1.695
2017-08-01 07:54:24 UTC,3,28.8,24.7,0.369,0.343,3.530,0.490,1.695
2017-08-01 07:55:26 UTC,4,29.1,24.2,0.387,0.362,3.531,0.490,1.695
2017-08-01 07:56:29 UTC,5,29.3,23.6,0.336,0.305,3.531,0.490,1.695
2017-08-01 07:57:32 UTC,6,29.5,23.3,0.356,0.327,3.533,0.490,1.695
2017-08-01 07:58:35 UTC,7,30.1,23.0,0.364,0.331,3.534,0.490,1.695
2017-08-01 07:59:38 UTC,8,30.5,22.8,0.370,0.331,3.536,0.490,1.695
2017-08-01 08:00:42 UTC,9,30.8,22.5,0.407,0.368,3.539,0.490,1.695
2017-08-01 08:01:43 UTC,10,31.2,22.1,0.473,0.442,3.546,0.490,1.694
2017-08-01 08:02:46 UTC,11,31.9,21.6,0.542,0.492,3.547,0.490,1.695
2017-08-01 08:03:50 UTC,12,32.5,20.9,0.505,0.461,3.546,0.490,1.695
2017-08-01 08:04:53 UTC,13,33.1,20.3,0.446,0.400,3.547,0.490,1.695
2017-08-01 08:05:55 UTC,14,33.6,20.4,0.438,0.394,3.547,0.490,1.695
2017-08-01 08:06:58 UTC,15,33.7,20.6,0.439,0.396,3.548,0.490,1.695
2017-08-01 08:08:02 UTC,16,33.7,20.3,0.426,0.384,3.545,0.490,1.694
2017-08-01 08:09:05 UTC,17,33.8,19.5,0.436,0.400,3.550,0.490,1.694
2017-08-01 08:10:09 UTC,18,33.8,19.9,0.431,0.394,3.549,0.490,1.695
2017-08-01 08:11:10 UTC,19,33.9,18.6,0.467,0.432,3.552,0.490,1.695
2017-08-01 08:12:12 UTC,20,33.9,19.2,0.415,0.381,3.553,0.490,1.694
2017-08-01 08:13:16 UTC,21,33.9,19.6,0.364,0.329,3.546,0.490,1.694
2017-08-01 08:14:18 UTC,22,33.7,20.6,0.345,0.311,3.546,0.490,1.695
2017-08-01 08:15:21 UTC,23,33.6,20.4,0.336,0.302,3.544,0.490,1.695
2017-08-01 08:16:25 UTC,24,33.0,21.1,0.329,0.295,3.543,0.490,1.695
2017-08-01 08:17:27 UTC,25,32.6,20.3,0.326,0.293,3.544,0.490,1.695
2017-08-01 08:18:30 UTC,26,32.4,19.9,0.331,0.295,3.546,0.490,1.695
2017-08-01 08:19:33 UTC,27,32.2,20.1,0.336,0.299,3.542,0.490,1.695
2017-08-01 08:20:35 UTC,28,32.1,20.0,0.343,0.306,3.546,0.490,1.695
2017-08-01 08:21:37 UTC,29,32.0,20.1,0.347,0.309,3.549,0.490,1.695
2017-08-01 08:22:41 UTC,30,32.0,21.5,0.370,0.332,3.542,0.490,1.695
2017-08-01 08:23:44 UTC,31,32.2,22.0,0.377,0.338,3.542,0.490,1.695
2017-08-01 08:24:46 UTC,32,32.3,21.6,0.397,0.355,3.551,0.490,1.695
2017-08-01 08:25:49 UTC,33,32.5,22.4,0.482,0.439,3.557,0.490,1.695
2017-08-01 08:26:52 UTC,34,33.2,21.1,0.516,0.470,3.557,0.490,1.694
2017-08-01 08:27:55 UTC,35,33.9,20.7,0.550,0.494,3.559,0.490,1.695
2017-08-01 08:28:57 UTC,36,34.2,20.3,0.476,0.422,3.556,0.490,1.695
2017-08-01 08:30:00 UTC,37,34.3,19.9,0.432,0.386,3.548,0.490,1.694
2017-08-01 08:31:02 UTC,38,34.2,19.4,0.393,0.343,3.537,0.490,1.695
2017-08-01 08:32:05 UTC,39,34.1,19.9,0.397,0.342,3.543,0.490,1.695
2017-08-01 08:33:07 UTC,40,34.0,20.9,0.417,0.362,3.549,0.490,1.694
2017-08-01 08:34:10 UTC,41,34.0,21.0,0.416,0.364,3.549,0.490,1.694
2017-08-01 08:35:13 UTC,42,33.9,20.7,0.413,0.361,3.549,0.490,1.694
2017-08-01 08:36:16 UTC,43,33.9,20.7,0.411,0.361,3.552,0.490,1.694
2017-08-01 08:37:19 UTC,44,33.9,20.8,0.405,0.358,3.553,0.490,1.695
2017-08-01 08:38:21 UTC,45,33.9,20.8,0.411,0.367,3.550,0.490,1.695
2017-08-01 08:39:24 UTC,46,33.9,20.7,0.470,0.427,3.554,0.490,1.694
2017-08-01 08:40:27 UTC,47,34.0,21.1,0.449,0.400,3.544,0.490,1.695
2017-08-01 08:41:30 UTC,48,34.0,21.1,0.403,0.355,3.553,0.490,1.695
2017-08-01 08:42:33 UTC,49,34.0,20.2,0.499,0.461,3.559,0.490,1.694
2017-08-01 08:43:35 UTC,50,34.3,20.1,0.501,0.443,3.561,0.490,1.695
2017-08-01 08:44:38 UTC,51,34.7,19.5,0.627,0.579,3.570,0.490,1.695
2017-08-01 08:45:41 UTC,52,35.7,19.1,0.624,0.580,3.578,0.490,1.695
