azimuth0,elevation0,temperature0,humidity0,vPanel0,azimuth1,elevation1,temperature1,humidity1,vPanel1,azimuth2,elevation2,temperature2,humidity2,vPanel2,azimuth3,elevation3,temperature3,humidity3,vPanel3,azimuth4,elevation4,temperature4,humidity4,vPanel4,azimuth5,elevation5,temperature5,humidity5,vPanel5,azimuth6,elevation6,temperature6,humidity6,vPanel6,azimuth7,elevation7,temperature7,humidity7,vPanel7,azimuth8,elevation8,temperature8,humidity8,vPanel8,azimuth9,elevation9,temperature9,humidity9,vPanel9,azimuth10,elevation10,temperature10,humidity10,vPanel10,azimuth11,elevation11,temperature11,humidity11,vPanel11,azimuth12,elevation12,temperature12,humidity12,vPanel12,azimuth13,elevation13,temperature13,humidity13,vPanel13,azimuth14,elevation14,temperature14,humidity14,vPanel14,azimuth15,elevation15,temperature15,humidity15,vPanel15,azimuth16,elevation16,temperature16,humidity16,vPanel16,azimuth17,elevation17,temperature17,humidity17,vPanel17,azimuth18,elevation18,temperature18,humidity18,vPanel18,azimuth19,elevation19,temperature19,humidity19,vPanel19,azimuth20,elevation20,temperature20,humidity20,vPanel20
104.586,48.246,33.8,27.5,0.953,104.871,48.488,35.1,25.5,0.965,105.155,48.727,35.3,25.1,0.974,105.429,48.956,34.8,25.8,0.968,105.713,49.191,37.7,22.5,0.978,105.999,49.425,36.3,23.8,0.981,106.283,49.657,36.3,23.8,0.986,106.562,49.882,38.6,21.0,0.991,106.854,50.115,41.0,19.9,1.001,107.144,50.345,37.0,22.7,1.003,107.448,50.584,38.0,22.4,1.014,107.75,50.82,40.3,19.5,1.023,108.031,51.037,38.8,21.7,1.027,108.334,51.269,38.9,20.6,1.036,108.647,51.506,37.8,21.4,1.04,108.939,51.725,37.5,22.0,1.04,109.249,51.955,37.8,21.6,1.049,109.57,52.191,41.6,18.4,1.057,109.872,52.412,40.3,19.7,1.064,110.19,52.641,41.1,19.4,1.065,110.514,52.873,37.8,21.2,1.07
104.871,48.488,35.1,25.5,0.965,105.155,48.727,35.3,25.1,0.974,105.429,48.956,34.8,25.8,0.968,105.713,49.191,37.7,22.5,0.978,105.999,49.425,36.3,23.8,0.981,106.283,49.657,36.3,23.8,0.986,106.562,49.882,38.6,21.0,0.991,106.854,50.115,41.0,19.9,1.001,107.144,50.345,37.0,22.7,1.003,107.448,50.584,38.0,22.4,1.014,107.75,50.82,40.3,19.5,1.023,108.031,51.037,38.8,21.7,1.027,108.334,51.269,38.9,20.6,1.036,108.647,51.506,37.8,21.4,1.04,108.939,51.725,37.5,22.0,1.04,109.249,51.955,37.8,21.6,1.049,109.57,52.191,41.6,18.4,1.057,109.872,52.412,40.3,19.7,1.064,110.19,52.641,41.1,19.4,1.065,110.514,52.873,37.8,21.2,1.07,110.824,53.092,37.3,20.9,1.078
105.155,48.727,35.3,25.1,0.974,105.429,48.956,34.8,25.8,0.968,105.713,49.191,37.7,22.5,0.978,105.999,49.425,36.3,23.8,0.981,106.283,49.657,36.3,23.8,0.986,106.562,49.882,38.6,21.0,0.991,106.854,50.115,41.0,19.9,1.001,107.144,50.345,37.0,22.7,1.003,107.448,50.584,38.0,22.4,1.014,107.75,50.82,40.3,19.5,1.023,108.031,51.037,38.8,21.7,1.027,108.334,51.269,38.9,20.6,1.036,108.647,51.506,37.8,21.4,1.04,108.939,51.725,37.5,22.0,1.04,109.249,51.955,37.8,21.6,1.049,109.57,52.191,41.6,18.4,1.057,109.872,52.412,40.3,19.7,1.064,110.19,52.641,41.1,19.4,1.065,110.514,52.873,37.8,21.2,1.07,110.824,53.092,37.3,20.9,1.078,111.157,53.326,39.2,19.9,1.078
105.429,48.956,34.8,25.8,0.968,105.713,49.191,37.7,22.5,0.978,105.999,49.425,36.3,23.8,0.981,106.283,49.657,36.3,23.8,0.986,106.562,49.882,38.6,21.0,0.991,106.854,50.115,41.0,19.9,1.001,107.144,50.345,37.0,22.7,1.003,107.448,50.584,38.0,22.4,1.014,107.75,50.82,40.3,19.5,1.023,108.031,51.037,38.8,21.7,1.027,108.334,51.269,38.9,20.6,1.036,108.647,51.506,37.8,21.4,1.04,108.939,51.725,37.5,22.0,1.04,109.249,51.955,37.8,21.6,1.049,109.57,52.191,41.6,18.4,1.057,109.872,52.412,40.3,19.7,1.064,110.19,52.641,41.1,19.4,1.065,110.514,52.873,37.8,21.2,1.07,110.824,53.092,37.3,20.9,1.078,111.157,53.326,39.2,19.9,1.078,111.485,53.553,39.1,20.3,1.09
105.713,49.191,37.7,22.5,0.978,105.999,49.425,36.3,23.8,0.981,106.283,49.657,36.3,23.8,0.986,106.562,49.882,38.6,21.0,0.991,106.854,50.115,41.0,19.9,1.001,107.144,50.345,37.0,22.7,1.003,107.448,50.584,38.0,22.4,1.014,107.75,50.82,40.3,19.5,1.023,108.031,51.037,38.8,21.7,1.027,108.334,51.269,38.9,20.6,1.036,108.647,51.506,37.8,21.4,1.04,108.939,51.725,37.5,22.0,1.04,109.249,51.955,37.8,21.6,1.049,109.57,52.191,41.6,18.4,1.057,109.872,52.412,40.3,19.7,1.064,110.19,52.641,41.1,19.4,1.065,110.514,52.873,37.8,21.2,1.07,110.824,53.092,37.3,20.9,1.078,111.157,53.326,39.2,19.9,1.078,111.485,53.553,39.1,20.3,1.09,111.803,53.771,39.7,18.8,1.098
105.999,49.425,36.3,23.8,0.981,106.283,49.657,36.3,23.8,0.986,106.562,49.882,38.6,21.0,0.991,106.854,50.115,41.0,19.9,1.001,107.144,50.345,37.0,22.7,1.003,107.448,50.584,38.0,22.4,1.014,107.75,50.82,40.3,19.5,1.023,108.031,51.037,38.8,21.7,1.027,108.334,51.269,38.9,20.6,1.036,108.647,51.506,37.8,21.4,1.04,108.939,51.725,37.5,22.0,1.04,109.249,51.955,37.8,21.6,1.049,109.57,52.191,41.6,18.4,1.057,109.872,52.412,40.3,19.7,1.064,110.19,52.641,41.1,19.4,1.065,110.514,52.873,37.8,21.2,1.07,110.824,53.092,37.3,20.9,1.078,111.157,53.326,39.2,19.9,1.078,111.485,53.553,39.1,20.3,1.09,111.803,53.771,39.7,18.8,1.098,112.141,54.0,38.6,20.3,1.106
106.283,49.657,36.3,23.8,0.986,106.562,49.882,38.6,21.0,0.991,106.854,50.115,41.0,19.9,1.001,107.144,50.345,37.0,22.7,1.003,107.448,50.584,38.0,22.4,1.014,107.75,50.82,40.3,19.5,1.023,108.031,51.037,38.8,21.7,1.027,108.334,51.269,38.9,20.6,1.036,108.647,51.506,37.8,21.4,1.04,108.939,51.725,37.5,22.0,1.04,109.249,51.955,37.8,21.6,1.049,109.57,52.191,41.6,18.4,1.057,109.872,52.412,40.3,19.7,1.064,110.19,52.641,41.1,19.4,1.065,110.514,52.873,37.8,21.2,1.07,110.824,53.092,37.3,20.9,1.078,111.157,53.326,39.2,19.9,1.078,111.485,53.553,39.1,20.3,1.09,111.803,53.771,39.7,18.8,1.098,112.141,54.0,38.6,20.3,1.106,112.469,54.22,39.0,20.3,1.109
106.562,49.882,38.6,21.0,0.991,106.854,50.115,41.0,19.9,1.001,107.144,50.345,37.0,22.7,1.003,107.448,50.584,38.0,22.4,1.014,107.75,50.82,40.3,19.5,1.023,108.031,51.037,38.8,21.7,1.027,108.334,51.269,38.9,20.6,1.036,108.647,51.506,37.8,21.4,1.04,108.939,51.725,37.5,22.0,1.04,109.249,51.955,37.8,21.6,1.049,109.57,52.191,41.6,18.4,1.057,109.872,52.412,40.3,19.7,1.064,110.19,52.641,41.1,19.4,1.065,110.514,52.873,37.8,21.2,1.07,110.824,53.092,37.3,20.9,1.078,111.157,53.326,39.2,19.9,1.078,111.485,53.553,39.1,20.3,1.09,111.803,53.771,39.7,18.8,1.098,112.141,54.0,38.6,20.3,1.106,112.469,54.22,39.0,20.3,1.109,112.804,54.442,41.0,19.0,1.113
106.854,50.115,41.0,19.9,1.001,107.144,50.345,37.0,22.7,1.003,107.448,50.584,38.0,22.4,1.014,107.75,50.82,40.3,19.5,1.023,108.031,51.037,38.8,21.7,1.027,108.334,51.269,38.9,20.6,1.036,108.647,51.506,37.8,21.4,1.04,108.939,51.725,37.5,22.0,1.04,109.249,51.955,37.8,21.6,1.049,109.57,52.191,41.6,18.4,1.057,109.872,52.412,40.3,19.7,1.064,110.19,52.641,41.1,19.4,1.065,110.514,52.873,37.8,21.2,1.07,110.824,53.092,37.3,20.9,1.078,111.157,53.326,39.2,19.9,1.078,111.485,53.553,39.1,20.3,1.09,111.803,53.771,39.7,18.8,1.098,112.141,54.0,38.6,20.3,1.106,112.469,54.22,39.0,20.3,1.109,112.804,54.442,41.0,19.0,1.113,113.146,54.667,40.3,18.9,1.124
107.144,50.345,37.0,22.7,1.003,107.448,50.584,38.0,22.4,1.014,107.75,50.82,40.3,19.5,1.023,108.031,51.037,38.8,21.7,1.027,108.334,51.269,38.9,20.6,1.036,108.647,51.506,37.8,21.4,1.04,108.939,51.725,37.5,22.0,1.04,109.249,51.955,37.8,21.6,1.049,109.57,52.191,41.6,18.4,1.057,109.872,52.412,40.3,19.7,1.064,110.19,52.641,41.1,19.4,1.065,110.514,52.873,37.8,21.2,1.07,110.824,53.092,37.3,20.9,1.078,111.157,53.326,39.2,19.9,1.078,111.485,53.553,39.1,20.3,1.09,111.803,53.771,39.7,18.8,1.098,112.141,54.0,38.6,20.3,1.106,112.469,54.22,39.0,20.3,1.109,112.804,54.442,41.0,19.0,1.113,113.146,54.667,40.3,18.9,1.124,113.482,54.885,39.6,20.4,1.133
