azimuth0,elevation0,temperature0,humidity0,vPanel0,azimuth1,elevation1,temperature1,humidity1,vPanel1,azimuth2,elevation2,temperature2,humidity2,vPanel2
107.971,50.116,32.4,23.0,1.608,108.205,50.297,35.5,19.4,1.655,108.451,50.486,38.3,16.9,1.646
108.205,50.297,35.5,19.4,1.655,108.451,50.486,38.3,16.9,1.646,108.699,50.675,40.9,15.4,1.692
108.451,50.486,38.3,16.9,1.646,108.699,50.675,40.9,15.4,1.692,108.948,50.864,41.8,14.4,1.908
108.699,50.675,40.9,15.4,1.692,108.948,50.864,41.8,14.4,1.908,109.199,51.053,43.4,13.7,1.678
108.948,50.864,41.8,14.4,1.908,109.199,51.053,43.4,13.7,1.678,109.448,51.238,44.7,13.0,1.578
109.199,51.053,43.4,13.7,1.678,109.448,51.238,44.7,13.0,1.578,109.702,51.426,46.1,12.1,1.503
109.448,51.238,44.7,13.0,1.578,109.702,51.426,46.1,12.1,1.503,109.962,51.617,46.8,11.7,1.528
109.702,51.426,46.1,12.1,1.503,109.962,51.617,46.8,11.7,1.528,110.215,51.801,47.0,11.4,1.482
109.962,51.617,46.8,11.7,1.528,110.215,51.801,47.0,11.4,1.482,110.474,51.988,46.8,11.3,1.485
110.215,51.801,47.0,11.4,1.482,110.474,51.988,46.8,11.3,1.485,110.73,52.172,47.0,11.2,1.491
110.474,51.988,46.8,11.3,1.485,110.73,52.172,47.0,11.2,1.491,110.993,52.359,46.1,11.2,1.482
110.73,52.172,47.0,11.2,1.491,110.993,52.359,46.1,11.2,1.482,111.257,52.545,46.9,11.1,1.49
110.993,52.359,46.1,11.2,1.482,111.257,52.545,46.9,11.1,1.49,111.523,52.731,47.3,11.0,1.488
111.257,52.545,46.9,11.1,1.49,111.523,52.731,47.3,11.0,1.488,111.79,52.916,46.9,10.9,1.481
111.523,52.731,47.3,11.0,1.488,111.79,52.916,46.9,10.9,1.481,112.06,53.101,46.3,11.0,1.482
111.79,52.916,46.9,10.9,1.481,112.06,53.101,46.3,11.0,1.482,112.327,53.283,45.7,11.2,1.474
112.06,53.101,46.3,11.0,1.482,112.327,53.283,45.7,11.2,1.474,112.6,53.467,44.2,12.0,1.474
112.327,53.283,45.7,11.2,1.474,112.6,53.467,44.2,12.0,1.474,112.875,53.651,43.4,12.4,1.475
112.6,53.467,44.2,12.0,1.474,112.875,53.651,43.4,12.4,1.475,113.152,53.835,43.7,12.1,1.485
112.875,53.651,43.4,12.4,1.475,113.152,53.835,43.7,12.1,1.485,113.426,54.015,44.0,12.3,1.491
