azimuth0,elevation0,temperature0,humidity0,vPanel0,azimuth1,elevation1,temperature1,humidity1,vPanel1,azimuth2,elevation2,temperature2,humidity2,vPanel2,azimuth3,elevation3,temperature3,humidity3,vPanel3,azimuth4,elevation4,temperature4,humidity4,vPanel4,azimuth5,elevation5,temperature5,humidity5,vPanel5,azimuth6,elevation6,temperature6,humidity6,vPanel6
103.783,45.333,28.8,30.4,1.114,103.842,45.385,29.9,28.7,1.118,104.072,45.588,33.0,23.9,1.129,104.289,45.778,35.6,21.3,1.14,104.504,45.966,37.7,19.1,1.15,104.723,46.156,39.3,17.7,1.159,104.958,46.358,40.0,17.1,1.17
103.842,45.385,29.9,28.7,1.118,104.072,45.588,33.0,23.9,1.129,104.289,45.778,35.6,21.3,1.14,104.504,45.966,37.7,19.1,1.15,104.723,46.156,39.3,17.7,1.159,104.958,46.358,40.0,17.1,1.17,105.183,46.55,41.3,16.4,1.179
104.072,45.588,33.0,23.9,1.129,104.289,45.778,35.6,21.3,1.14,104.504,45.966,37.7,19.1,1.15,104.723,46.156,39.3,17.7,1.159,104.958,46.358,40.0,17.1,1.17,105.183,46.55,41.3,16.4,1.179,105.398,46.734,41.5,15.9,1.186
104.289,45.778,35.6,21.3,1.14,104.504,45.966,37.7,19.1,1.15,104.723,46.156,39.3,17.7,1.159,104.958,46.358,40.0,17.1,1.17,105.183,46.55,41.3,16.4,1.179,105.398,46.734,41.5,15.9,1.186,105.626,46.926,42.3,15.4,1.189
104.504,45.966,37.7,19.1,1.15,104.723,46.156,39.3,17.7,1.159,104.958,46.358,40.0,17.1,1.17,105.183,46.55,41.3,16.4,1.179,105.398,46.734,41.5,15.9,1.186,105.626,46.926,42.3,15.4,1.189,105.865,47.127,43.1,15.1,1.201
104.723,46.156,39.3,17.7,1.159,104.958,46.358,40.0,17.1,1.17,105.183,46.55,41.3,16.4,1.179,105.398,46.734,41.5,15.9,1.186,105.626,46.926,42.3,15.4,1.189,105.865,47.127,43.1,15.1,1.201,106.084,47.31,43.7,14.4,1.207
104.958,46.358,40.0,17.1,1.17,105.183,46.55,41.3,16.4,1.179,105.398,46.734,41.5,15.9,1.186,105.626,46.926,42.3,15.4,1.189,105.865,47.127,43.1,15.1,1.201,106.084,47.31,43.7,14.4,1.207,106.312,47.498,43.6,14.6,1.212
105.183,46.55,41.3,16.4,1.179,105.398,46.734,41.5,15.9,1.186,105.626,46.926,42.3,15.4,1.189,105.865,47.127,43.1,15.1,1.201,106.084,47.31,43.7,14.4,1.207,106.312,47.498,43.6,14.6,1.212,106.548,47.693,44.5,14.3,1.224
105.398,46.734,41.5,15.9,1.186,105.626,46.926,42.3,15.4,1.189,105.865,47.127,43.1,15.1,1.201,106.084,47.31,43.7,14.4,1.207,106.312,47.498,43.6,14.6,1.212,106.548,47.693,44.5,14.3,1.224,106.792,47.893,45.0,13.6,1.237
105.626,46.926,42.3,15.4,1.189,105.865,47.127,43.1,15.1,1.201,106.084,47.31,43.7,14.4,1.207,106.312,47.498,43.6,14.6,1.212,106.548,47.693,44.5,14.3,1.224,106.792,47.893,45.0,13.6,1.237,107.016,48.075,45.5,13.3,1.245
105.865,47.127,43.1,15.1,1.201,106.084,47.31,43.7,14.4,1.207,106.312,47.498,43.6,14.6,1.212,106.548,47.693,44.5,14.3,1.224,106.792,47.893,45.0,13.6,1.237,107.016,48.075,45.5,13.3,1.245,107.252,48.266,45.8,13.1,1.248
106.084,47.31,43.7,14.4,1.207,106.312,47.498,43.6,14.6,1.212,106.548,47.693,44.5,14.3,1.224,106.792,47.893,45.0,13.6,1.237,107.016,48.075,45.5,13.3,1.245,107.252,48.266,45.8,13.1,1.248,107.486,48.453,46.2,12.9,1.257
106.312,47.498,43.6,14.6,1.212,106.548,47.693,44.5,14.3,1.224,106.792,47.893,45.0,13.6,1.237,107.016,48.075,45.5,13.3,1.245,107.252,48.266,45.8,13.1,1.248,107.486,48.453,46.2,12.9,1.257,107.736,48.652,46.5,12.8,1.268
106.548,47.693,44.5,14.3,1.224,106.792,47.893,45.0,13.6,1.237,107.016,48.075,45.5,13.3,1.245,107.252,48.266,45.8,13.1,1.248,107.486,48.453,46.2,12.9,1.257,107.736,48.652,46.5,12.8,1.268,107.961,48.83,46.3,12.8,1.287
106.792,47.893,45.0,13.6,1.237,107.016,48.075,45.5,13.3,1.245,107.252,48.266,45.8,13.1,1.248,107.486,48.453,46.2,12.9,1.257,107.736,48.652,46.5,12.8,1.268,107.961,48.83,46.3,12.8,1.287,108.203,49.02,47.0,12.6,1.297
107.016,48.075,45.5,13.3,1.245,107.252,48.266,45.8,13.1,1.248,107.486,48.453,46.2,12.9,1.257,107.736,48.652,46.5,12.8,1.268,107.961,48.83,46.3,12.8,1.287,108.203,49.02,47.0,12.6,1.297,108.454,49.215,47.6,12.6,1.302
107.252,48.266,45.8,13.1,1.248,107.486,48.453,46.2,12.9,1.257,107.736,48.652,46.5,12.8,1.268,107.961,48.83,46.3,12.8,1.287,108.203,49.02,47.0,12.6,1.297,108.454,49.215,47.6,12.6,1.302,108.706,49.411,48.2,12.1,1.31
107.486,48.453,46.2,12.9,1.257,107.736,48.652,46.5,12.8,1.268,107.961,48.83,46.3,12.8,1.287,108.203,49.02,47.0,12.6,1.297,108.454,49.215,47.6,12.6,1.302,108.706,49.411,48.2,12.1,1.31,108.936,49.587,47.8,11.8,1.317
107.736,48.652,46.5,12.8,1.268,107.961,48.83,46.3,12.8,1.287,108.203,49.02,47.0,12.6,1.297,108.454,49.215,47.6,12.6,1.302,108.706,49.411,48.2,12.1,1.31,108.936,49.587,47.8,11.8,1.317,109.184,49.776,47.9,11.9,1.321
