azimuth0,elevation0,temperature0,humidity0,vPanel0,azimuth1,elevation1,temperature1,humidity1,vPanel1,azimuth2,elevation2,temperature2,humidity2,vPanel2,azimuth3,elevation3,temperature3,humidity3,vPanel3,azimuth4,elevation4,temperature4,humidity4,vPanel4
97.841,38.922,28.0,34.9,0.919,97.887,38.97,28.8,33.7,0.92,98.077,39.164,31.7,28.1,0.93,98.27,39.361,33.6,24.9,0.937,98.465,39.559,35.7,23.4,0.944
97.887,38.97,28.8,33.7,0.92,98.077,39.164,31.7,28.1,0.93,98.27,39.361,33.6,24.9,0.937,98.465,39.559,35.7,23.4,0.944,98.66,39.756,37.2,21.5,0.95
98.077,39.164,31.7,28.1,0.93,98.27,39.361,33.6,24.9,0.937,98.465,39.559,35.7,23.4,0.944,98.66,39.756,37.2,21.5,0.95,98.856,39.953,38.5,20.9,0.957
98.27,39.361,33.6,24.9,0.937,98.465,39.559,35.7,23.4,0.944,98.66,39.756,37.2,21.5,0.95,98.856,39.953,38.5,20.9,0.957,99.049,40.147,39.5,19.4,0.963
98.465,39.559,35.7,23.4,0.944,98.66,39.756,37.2,21.5,0.95,98.856,39.953,38.5,20.9,0.957,99.049,40.147,39.5,19.4,0.963,99.247,40.344,40.3,18.4,0.969
98.66,39.756,37.2,21.5,0.95,98.856,39.953,38.5,20.9,0.957,99.049,40.147,39.5,19.4,0.963,99.247,40.344,40.3,18.4,0.969,99.445,40.541,41.0,18.3,0.976
98.856,39.953,38.5,20.9,0.957,99.049,40.147,39.5,19.4,0.963,99.247,40.344,40.3,18.4,0.969,99.445,40.541,41.0,18.3,0.976,99.641,40.735,41.2,17.8,0.984
99.049,40.147,39.5,19.4,0.963,99.247,40.344,40.3,18.4,0.969,99.445,40.541,41.0,18.3,0.976,99.641,40.735,41.2,17.8,0.984,99.843,40.935,41.3,17.8,0.989
99.247,40.344,40.3,18.4,0.969,99.445,40.541,41.0,18.3,0.976,99.641,40.735,41.2,17.8,0.984,99.843,40.935,41.3,17.8,0.989,100.044,41.131,41.5,17.1,0.998
99.445,40.541,41.0,18.3,0.976,99.641,40.735,41.2,17.8,0.984,99.843,40.935,41.3,17.8,0.989,100.044,41.131,41.5,17.1,0.998,100.242,41.324,42.0,16.9,1.002
99.641,40.735,41.2,17.8,0.984,99.843,40.935,41.3,17.8,0.989,100.044,41.131,41.5,17.1,0.998,100.242,41.324,42.0,16.9,1.002,100.441,41.518,42.8,16.6,1.007
99.843,40.935,41.3,17.8,0.989,100.044,41.131,41.5,17.1,0.998,100.242,41.324,42.0,16.9,1.002,100.441,41.518,42.8,16.6,1.007,100.647,41.717,42.9,16.4,1.007
