azimuth0,elevation0,temperature0,humidity0,vPanel0,azimuth1,elevation1,temperature1,humidity1,vPanel1,azimuth2,elevation2,temperature2,humidity2,vPanel2,azimuth3,elevation3,temperature3,humidity3,vPanel3,azimuth4,elevation4,temperature4,humidity4,vPanel4,azimuth5,elevation5,temperature5,humidity5,vPanel5,azimuth6,elevation6,temperature6,humidity6,vPanel6,azimuth7,elevation7,temperature7,humidity7,vPanel7,azimuth8,elevation8,temperature8,humidity8,vPanel8,azimuth9,elevation9,temperature9,humidity9,vPanel9,azimuth10,elevation10,temperature10,humidity10,vPanel10,azimuth11,elevation11,temperature11,humidity11,vPanel11,azimuth12,elevation12,temperature12,humidity12,vPanel12,azimuth13,elevation13,temperature13,humidity13,vPanel13,azimuth14,elevation14,temperature14,humidity14,vPanel14,azimuth15,elevation15,temperature15,humidity15,vPanel15,azimuth16,elevation16,temperature16,humidity16,vPanel16,azimuth17,elevation17,temperature17,humidity17,vPanel17,azimuth18,elevation18,temperature18,humidity18,vPanel18,azimuth19,elevation19,temperature19,humidity19,vPanel19,azimuth20,elevation20,temperature20,humidity20,vPanel20,azimuth21,elevation21,temperature21,humidity21,vPanel21,azimuth22,elevation22,temperature22,humidity22,vPanel22,azimuth23,elevation23,temperature23,humidity23,vPanel23,azimuth24,elevation24,temperature24,humidity24,vPanel24,azimuth25,elevation25,temperature25,humidity25,vPanel25
91.75,30.304,30.8,22.5,0.407,91.918,30.497,31.2,22.1,0.473,92.093,30.696,31.9,21.6,0.542,92.271,30.899,32.5,20.9,0.505,92.446,31.098,33.1,20.3,0.446,92.619,31.294,33.6,20.4,0.438,92.796,31.493,33.7,20.6,0.439,92.975,31.695,33.7,20.3,0.426,93.152,31.895,33.8,19.5,0.436,93.332,32.097,33.8,19.9,0.431,93.505,32.29,33.9,18.6,0.467,93.68,32.486,33.9,19.2,0.415,93.862,32.688,33.9,19.6,0.364,94.039,32.884,33.7,20.6,0.345,94.218,33.083,33.6,20.4,0.336,94.402,33.285,33.0,21.1,0.329,94.58,33.48,32.6,20.3,0.326,94.761,33.679,32.4,19.9,0.331,94.943,33.878,32.2,20.1,0.336,95.122,34.073,32.1,20.0,0.343,95.302,34.269,32.0,20.1,0.347,95.488,34.471,32.0,21.5,0.37,95.672,34.669,32.2,22.0,0.377,95.854,34.864,32.3,21.6,0.397,96.038,35.063,32.5,22.4,0.482,96.224,35.261,33.2,21.1,0.516
91.918,30.497,31.2,22.1,0.473,92.093,30.696,31.9,21.6,0.542,92.271,30.899,32.5,20.9,0.505,92.446,31.098,33.1,20.3,0.446,92.619,31.294,33.6,20.4,0.438,92.796,31.493,33.7,20.6,0.439,92.975,31.695,33.7,20.3,0.426,93.152,31.895,33.8,19.5,0.436,93.332,32.097,33.8,19.9,0.431,93.505,32.29,33.9,18.6,0.467,93.68,32.486,33.9,19.2,0.415,93.862,32.688,33.9,19.6,0.364,94.039,32.884,33.7,20.6,0.345,94.218,33.083,33.6,20.4,0.336,94.402,33.285,33.0,21.1,0.329,94.58,33.48,32.6,20.3,0.326,94.761,33.679,32.4,19.9,0.331,94.943,33.878,32.2,20.1,0.336,95.122,34.073,32.1,20.0,0.343,95.302,34.269,32.0,20.1,0.347,95.488,34.471,32.0,21.5,0.37,95.672,34.669,32.2,22.0,0.377,95.854,34.864,32.3,21.6,0.397,96.038,35.063,32.5,22.4,0.482,96.224,35.261,33.2,21.1,0.516,96.41,35.459,33.9,20.7,0.55
92.093,30.696,31.9,21.6,0.542,92.271,30.899,32.5,20.9,0.505,92.446,31.098,33.1,20.3,0.446,92.619,31.294,33.6,20.4,0.438,92.796,31.493,33.7,20.6,0.439,92.975,31.695,33.7,20.3,0.426,93.152,31.895,33.8,19.5,0.436,93.332,32.097,33.8,19.9,0.431,93.505,32.29,33.9,18.6,0.467,93.68,32.486,33.9,19.2,0.415,93.862,32.688,33.9,19.6,0.364,94.039,32.884,33.7,20.6,0.345,94.218,33.083,33.6,20.4,0.336,94.402,33.285,33.0,21.1,0.329,94.58,33.48,32.6,20.3,0.326,94.761,33.679,32.4,19.9,0.331,94.943,33.878,32.2,20.1,0.336,95.122,34.073,32.1,20.0,0.343,95.302,34.269,32.0,20.1,0.347,95.488,34.471,32.0,21.5,0.37,95.672,34.669,32.2,22.0,0.377,95.854,34.864,32.3,21.6,0.397,96.038,35.063,32.5,22.4,0.482,96.224,35.261,33.2,21.1,0.516,96.41,35.459,33.9,20.7,0.55,96.594,35.655,34.2,20.3,0.476
92.271,30.899,32.5,20.9,0.505,92.446,31.098,33.1,20.3,0.446,92.619,31.294,33.6,20.4,0.438,92.796,31.493,33.7,20.6,0.439,92.975,31.695,33.7,20.3,0.426,93.152,31.895,33.8,19.5,0.436,93.332,32.097,33.8,19.9,0.431,93.505,32.29,33.9,18.6,0.467,93.68,32.486,33.9,19.2,0.415,93.862,32.688,33.9,19.6,0.364,94.039,32.884,33.7,20.6,0.345,94.218,33.083,33.6,20.4,0.336,94.402,33.285,33.0,21.1,0.329,94.58,33.48,32.6,20.3,0.326,94.761,33.679,32.4,19.9,0.331,94.943,33.878,32.2,20.1,0.336,95.122,34.073,32.1,20.0,0.343,95.302,34.269,32.0,20.1,0.347,95.488,34.471,32.0,21.5,0.37,95.672,34.669,32.2,22.0,0.377,95.854,34.864,32.3,21.6,0.397,96.038,35.063,32.5,22.4,0.482,96.224,35.261,33.2,21.1,0.516,96.41,35.459,33.9,20.7,0.55,96.594,35.655,34.2,20.3,0.476,96.781,35.853,34.3,19.9,0.432
92.446,31.098,33.1,20.3,0.446,92.619,31.294,33.6,20.4,0.438,92.796,31.493,33.7,20.6,0.439,92.975,31.695,33.7,20.3,0.426,93.152,31.895,33.8,19.5,0.436,93.332,32.097,33.8,19.9,0.431,93.505,32.29,33.9,18.6,0.467,93.68,32.486,33.9,19.2,0.415,93.862,32.688,33.9,19.6,0.364,94.039,32.884,33.7,20.6,0.345,94.218,33.083,33.6,20.4,0.336,94.402,33.285,33.0,21.1,0.329,94.58,33.48,32.6,20.3,0.326,94.761,33.679,32.4,19.9,0.331,94.943,33.878,32.2,20.1,0.336,95.122,34.073,32.1,20.0,0.343,95.302,34.269,32.0,20.1,0.347,95.488,34.471,32.0,21.5,0.37,95.672,34.669,32.2,22.0,0.377,95.854,34.864,32.3,21.6,0.397,96.038,35.063,32.5,22.4,0.482,96.224,35.261,33.2,21.1,0.516,96.41,35.459,33.9,20.7,0.55,96.594,35.655,34.2,20.3,0.476,96.781,35.853,34.3,19.9,0.432,96.966,36.048,34.2,19.4,0.393
92.619,31.294,33.6,20.4,0.438,92.796,31.493,33.7,20.6,0.439,92.975,31.695,33.7,20.3,0.426,93.152,31.895,33.8,19.5,0.436,93.332,32.097,33.8,19.9,0.431,93.505,32.29,33.9,18.6,0.467,93.68,32.486,33.9,19.2,0.415,93.862,32.688,33.9,19.6,0.364,94.039,32.884,33.7,20.6,0.345,94.218,33.083,33.6,20.4,0.336,94.402,33.285,33.0,21.1,0.329,94.58,33.48,32.6,20.3,0.326,94.761,33.679,32.4,19.9,0.331,94.943,33.878,32.2,20.1,0.336,95.122,34.073,32.1,20.0,0.343,95.302,34.269,32.0,20.1,0.347,95.488,34.471,32.0,21.5,0.37,95.672,34.669,32.2,22.0,0.377,95.854,34.864,32.3,21.6,0.397,96.038,35.063,32.5,22.4,0.482,96.224,35.261,33.2,21.1,0.516,96.41,35.459,33.9,20.7,0.55,96.594,35.655,34.2,20.3,0.476,96.781,35.853,34.3,19.9,0.432,96.966,36.048,34.2,19.4,0.393,97.154,36.246,34.1,19.9,0.397
92.796,31.493,33.7,20.6,0.439,92.975,31.695,33.7,20.3,0.426,93.152,31.895,33.8,19.5,0.436,93.332,32.097,33.8,19.9,0.431,93.505,32.29,33.9,18.6,0.467,93.68,32.486,33.9,19.2,0.415,93.862,32.688,33.9,19.6,0.364,94.039,32.884,33.7,20.6,0.345,94.218,33.083,33.6,20.4,0.336,94.402,33.285,33.0,21.1,0.329,94.58,33.48,32.6,20.3,0.326,94.761,33.679,32.4,19.9,0.331,94.943,33.878,32.2,20.1,0.336,95.122,34.073,32.1,20.0,0.343,95.302,34.269,32.0,20.1,0.347,95.488,34.471,32.0,21.5,0.37,95.672,34.669,32.2,22.0,0.377,95.854,34.864,32.3,21.6,0.397,96.038,35.063,32.5,22.4,0.482,96.224,35.261,33.2,21.1,0.516,96.41,35.459,33.9,20.7,0.55,96.594,35.655,34.2,20.3,0.476,96.781,35.853,34.3,19.9,0.432,96.966,36.048,34.2,19.4,0.393,97.154,36.246,34.1,19.9,0.397,97.34,36.44,34.0,20.9,0.417
92.975,31.695,33.7,20.3,0.426,93.152,31.895,33.8,19.5,0.436,93.332,32.097,33.8,19.9,0.431,93.505,32.29,33.9,18.6,0.467,93.68,32.486,33.9,19.2,0.415,93.862,32.688,33.9,19.6,0.364,94.039,32.884,33.7,20.6,0.345,94.218,33.083,33.6,20.4,0.336,94.402,33.285,33.0,21.1,0.329,94.58,33.48,32.6,20.3,0.326,94.761,33.679,32.4,19.9,0.331,94.943,33.878,32.2,20.1,0.336,95.122,34.073,32.1,20.0,0.343,95.302,34.269,32.0,20.1,0.347,95.488,34.471,32.0,21.5,0.37,95.672,34.669,32.2,22.0,0.377,95.854,34.864,32.3,21.6,0.397,96.038,35.063,32.5,22.4,0.482,96.224,35.261,33.2,21.1,0.516,96.41,35.459,33.9,20.7,0.55,96.594,35.655,34.2,20.3,0.476,96.781,35.853,34.3,19.9,0.432,96.966,36.048,34.2,19.4,0.393,97.154,36.246,34.1,19.9,0.397,97.34,36.44,34.0,20.9,0.417,97.53,36.638,34.0,21.0,0.416
93.152,31.895,33.8,19.5,0.436,93.332,32.097,33.8,19.9,0.431,93.505,32.29,33.9,18.6,0.467,93.68,32.486,33.9,19.2,0.415,93.862,32.688,33.9,19.6,0.364,94.039,32.884,33.7,20.6,0.345,94.218,33.083,33.6,20.4,0.336,94.402,33.285,33.0,21.1,0.329,94.58,33.48,32.6,20.3,0.326,94.761,33.679,32.4,19.9,0.331,94.943,33.878,32.2,20.1,0.336,95.122,34.073,32.1,20.0,0.343,95.302,34.269,32.0,20.1,0.347,95.488,34.471,32.0,21.5,0.37,95.672,34.669,32.2,22.0,0.377,95.854,34.864,32.3,21.6,0.397,96.038,35.063,32.5,22.4,0.482,96.224,35.261,33.2,21.1,0.516,96.41,35.459,33.9,20.7,0.55,96.594,35.655,34.2,20.3,0.476,96.781,35.853,34.3,19.9,0.432,96.966,36.048,34.2,19.4,0.393,97.154,36.246,34.1,19.9,0.397,97.34,36.44,34.0,20.9,0.417,97.53,36.638,34.0,21.0,0.416,97.72,36.836,33.9,20.7,0.413
93.332,32.097,33.8,19.9,0.431,93.505,32.29,33.9,18.6,0.467,93.68,32.486,33.9,19.2,0.415,93.862,32.688,33.9,19.6,0.364,94.039,32.884,33.7,20.6,0.345,94.218,33.083,33.6,20.4,0.336,94.402,33.285,33.0,21.1,0.329,94.58,33.48,32.6,20.3,0.326,94.761,33.679,32.4,19.9,0.331,94.943,33.878,32.2,20.1,0.336,95.122,34.073,32.1,20.0,0.343,95.302,34.269,32.0,20.1,0.347,95.488,34.471,32.0,21.5,0.37,95.672,34.669,32.2,22.0,0.377,95.854,34.864,32.3,21.6,0.397,96.038,35.063,32.5,22.4,0.482,96.224,35.261,33.2,21.1,0.516,96.41,35.459,33.9,20.7,0.55,96.594,35.655,34.2,20.3,0.476,96.781,35.853,34.3,19.9,0.432,96.966,36.048,34.2,19.4,0.393,97.154,36.246,34.1,19.9,0.397,97.34,36.44,34.0,20.9,0.417,97.53,36.638,34.0,21.0,0.416,97.72,36.836,33.9,20.7,0.413,97.911,37.033,33.9,20.7,0.411
