azimuth0,elevation0,temperature0,humidity0,vPanel0,azimuth1,elevation1,temperature1,humidity1,vPanel1,azimuth2,elevation2,temperature2,humidity2,vPanel2,azimuth3,elevation3,temperature3,humidity3,vPanel3,azimuth4,elevation4,temperature4,humidity4,vPanel4,azimuth5,elevation5,temperature5,humidity5,vPanel5,azimuth6,elevation6,temperature6,humidity6,vPanel6,azimuth7,elevation7,temperature7,humidity7,vPanel7
91.75,30.304,30.8,22.5,0.407,91.918,30.497,31.2,22.1,0.473,92.093,30.696,31.9,21.6,0.542,92.271,30.899,32.5,20.9,0.505,92.446,31.098,33.1,20.3,0.446,92.619,31.294,33.6,20.4,0.438,92.796,31.493,33.7,20.6,0.439,92.975,31.695,33.7,20.3,0.426
91.918,30.497,31.2,22.1,0.473,92.093,30.696,31.9,21.6,0.542,92.271,30.899,32.5,20.9,0.505,92.446,31.098,33.1,20.3,0.446,92.619,31.294,33.6,20.4,0.438,92.796,31.493,33.7,20.6,0.439,92.975,31.695,33.7,20.3,0.426,93.152,31.895,33.8,19.5,0.436
92.093,30.696,31.9,21.6,0.542,92.271,30.899,32.5,20.9,0.505,92.446,31.098,33.1,20.3,0.446,92.619,31.294,33.6,20.4,0.438,92.796,31.493,33.7,20.6,0.439,92.975,31.695,33.7,20.3,0.426,93.152,31.895,33.8,19.5,0.436,93.332,32.097,33.8,19.9,0.431
92.271,30.899,32.5,20.9,0.505,92.446,31.098,33.1,20.3,0.446,92.619,31.294,33.6,20.4,0.438,92.796,31.493,33.7,20.6,0.439,92.975,31.695,33.7,20.3,0.426,93.152,31.895,33.8,19.5,0.436,93.332,32.097,33.8,19.9,0.431,93.505,32.29,33.9,18.6,0.467
92.446,31.098,33.1,20.3,0.446,92.619,31.294,33.6,20.4,0.438,92.796,31.493,33.7,20.6,0.439,92.975,31.695,33.7,20.3,0.426,93.152,31.895,33.8,19.5,0.436,93.332,32.097,33.8,19.9,0.431,93.505,32.29,33.9,18.6,0.467,93.68,32.486,33.9,19.2,0.415
92.619,31.294,33.6,20.4,0.438,92.796,31.493,33.7,20.6,0.439,92.975,31.695,33.7,20.3,0.426,93.152,31.895,33.8,19.5,0.436,93.332,32.097,33.8,19.9,0.431,93.505,32.29,33.9,18.6,0.467,93.68,32.486,33.9,19.2,0.415,93.862,32.688,33.9,19.6,0.364
92.796,31.493,33.7,20.6,0.439,92.975,31.695,33.7,20.3,0.426,93.152,31.895,33.8,19.5,0.436,93.332,32.097,33.8,19.9,0.431,93.505,32.29,33.9,18.6,0.467,93.68,32.486,33.9,19.2,0.415,93.862,32.688,33.9,19.6,0.364,94.039,32.884,33.7,20.6,0.345
92.975,31.695,33.7,20.3,0.426,93.152,31.895,33.8,19.5,0.436,93.332,32.097,33.8,19.9,0.431,93.505,32.29,33.9,18.6,0.467,93.68,32.486,33.9,19.2,0.415,93.862,32.688,33.9,19.6,0.364,94.039,32.884,33.7,20.6,0.345,94.218,33.083,33.6,20.4,0.336
93.152,31.895,33.8,19.5,0.436,93.332,32.097,33.8,19.9,0.431,93.505,32.29,33.9,18.6,0.467,93.68,32.486,33.9,19.2,0.415,93.862,32.688,33.9,19.6,0.364,94.039,32.884,33.7,20.6,0.345,94.218,33.083,33.6,20.4,0.336,94.402,33.285,33.0,21.1,0.329
93.332,32.097,33.8,19.9,0.431,93.505,32.29,33.9,18.6,0.467,93.68,32.486,33.9,19.2,0.415,93.862,32.688,33.9,19.6,0.364,94.039,32.884,33.7,20.6,0.345,94.218,33.083,33.6,20.4,0.336,94.402,33.285,33.0,21.1,0.329,94.58,33.48,32.6,20.3,0.326
93.505,32.29,33.9,18.6,0.467,93.68,32.486,33.9,19.2,0.415,93.862,32.688,33.9,19.6,0.364,94.039,32.884,33.7,20.6,0.345,94.218,33.083,33.6,20.4,0.336,94.402,33.285,33.0,21.1,0.329,94.58,33.48,32.6,20.3,0.326,94.761,33.679,32.4,19.9,0.331
93.68,32.486,33.9,19.2,0.415,93.862,32.688,33.9,19.6,0.364,94.039,32.884,33.7,20.6,0.345,94.218,33.083,33.6,20.4,0.336,94.402,33.285,33.0,21.1,0.329,94.58,33.48,32.6,20.3,0.326,94.761,33.679,32.4,19.9,0.331,94.943,33.878,32.2,20.1,0.336
93.862,32.688,33.9,19.6,0.364,94.039,32.884,33.7,20.6,0.345,94.218,33.083,33.6,20.4,0.336,94.402,33.285,33.0,21.1,0.329,94.58,33.48,32.6,20.3,0.326,94.761,33.679,32.4,19.9,0.331,94.943,33.878,32.2,20.1,0.336,95.122,34.073,32.1,20.0,0.343
94.039,32.884,33.7,20.6,0.345,94.218,33.083,33.6,20.4,0.336,94.402,33.285,33.0,21.1,0.329,94.58,33.48,32.6,20.3,0.326,94.761,33.679,32.4,19.9,0.331,94.943,33.878,32.2,20.1,0.336,95.122,34.073,32.1,20.0,0.343,95.302,34.269,32.0,20.1,0.347
94.218,33.083,33.6,20.4,0.336,94.402,33.285,33.0,21.1,0.329,94.58,33.48,32.6,20.3,0.326,94.761,33.679,32.4,19.9,0.331,94.943,33.878,32.2,20.1,0.336,95.122,34.073,32.1,20.0,0.343,95.302,34.269,32.0,20.1,0.347,95.488,34.471,32.0,21.5,0.37
94.402,33.285,33.0,21.1,0.329,94.58,33.48,32.6,20.3,0.326,94.761,33.679,32.4,19.9,0.331,94.943,33.878,32.2,20.1,0.336,95.122,34.073,32.1,20.0,0.343,95.302,34.269,32.0,20.1,0.347,95.488,34.471,32.0,21.5,0.37,95.672,34.669,32.2,22.0,0.377
94.58,33.48,32.6,20.3,0.326,94.761,33.679,32.4,19.9,0.331,94.943,33.878,32.2,20.1,0.336,95.122,34.073,32.1,20.0,0.343,95.302,34.269,32.0,20.1,0.347,95.488,34.471,32.0,21.5,0.37,95.672,34.669,32.2,22.0,0.377,95.854,34.864,32.3,21.6,0.397
94.761,33.679,32.4,19.9,0.331,94.943,33.878,32.2,20.1,0.336,95.122,34.073,32.1,20.0,0.343,95.302,34.269,32.0,20.1,0.347,95.488,34.471,32.0,21.5,0.37,95.672,34.669,32.2,22.0,0.377,95.854,34.864,32.3,21.6,0.397,96.038,35.063,32.5,22.4,0.482
94.943,33.878,32.2,20.1,0.336,95.122,34.073,32.1,20.0,0.343,95.302,34.269,32.0,20.1,0.347,95.488,34.471,32.0,21.5,0.37,95.672,34.669,32.2,22.0,0.377,95.854,34.864,32.3,21.6,0.397,96.038,35.063,32.5,22.4,0.482,96.224,35.261,33.2,21.1,0.516
